"Distance [mm]","Mag_B [mTesla]"
0,15.6413750675576
0.244949,15.8475036749818
0.489898,16.0557909736274
0.734847,16.2668590548234
0.979796,16.4813394297105
1.224745,16.6998730292401
1.469694,16.9231102041753
1.714643,17.1517107250901
1.959592,17.4237263316704
2.204541,17.7536530126737
2.44949,17.9145112193835
2.694439,18.0500536419224
2.939388,18.2641867560008
3.184337,18.2799300303842
3.429286,18.1493027687577
3.674235,18.0219379993349
3.919184,17.9002074020756
4.164133,17.7905555853436
4.409082,17.7092297163082
4.654031,17.5493649173825
4.89898,17.4042855710219
5.143929,17.2754754116752
5.388878,17.1644642788335
5.633827,17.0728281170304
5.878776,16.9340876602059
6.123725,16.785582761352
6.368674,16.6295411398598
6.613623,16.4662992496536
6.858572,16.2963353368787
7.103521,16.1202694399021
7.34847,15.9388633893115
7.593419,15.7530208079162
7.838368,15.5637871107468
8.083317,15.3611327002436
8.328266,15.1380183530527
8.573215,14.9509070398517
8.818164,14.6946130186629
9.063113,14.1365549575695
9.308062,13.642478675599
9.553011,13.166606827652
9.79796,12.7055959402595
10.042909,12.2702840929833
10.287858,11.8827125673804
10.532807,11.5969807351622
10.777756,11.3260448700476
11.022705,11.0909987049552
11.267654,10.8626475112485
11.512603,10.6384938095916
11.757552,10.4172384264837
12.002501,10.1975987641114
12.24745,9.90596510738496
12.492399,9.58694051219147
12.737348,9.27885589866354
12.982297,8.98288901324754
13.227246,8.70024682064094
13.472195,8.43321393871558
13.717144,8.17575053148729
13.962093,7.92934803415961
14.207042,7.69588981269698
14.451991,7.47742279787272
14.69694,7.27615748526896
14.941889,7.13702859201472
15.186838,7.00393373102113
15.431787,6.88693969056253
15.676736,6.76580724842008
15.921685,6.63499159538252
16.166634,6.48276783134025
16.411583,6.32261583417109
16.656532,6.13209867383048
16.901481,5.94589875166064
17.14643,5.76443924109502
17.391379,5.58817744590074
17.636328,5.41760480017862
17.881277,5.25324686836322
18.126226,5.10038571674962
18.371175,4.95937259223474
18.616124,4.82519893173676
18.861073,4.69930663499031
19.106022,4.6037463387623
19.350971,4.50781511657243
19.59592,4.41141544946943
19.840869,4.31445351236412
20.085818,4.21683917402946
20.330767,4.11848599710045
20.575716,4.01931123807422
20.820665,3.91923584731
21.065614,3.81818446902909
21.310563,3.71608544131493
21.555512,3.63551984532505
21.800461,3.57178735772425
22.04541,3.5078675658344
22.290359,3.44395217218521
22.535308,3.38700130589613
22.780257,3.33779374011336
23.025206,3.28554932732032
23.270155,3.23421421410392
23.515104,3.1804027693726
23.760053,3.11661031387562
24.005002,3.04716843467268
24.249951,2.97887577431542
24.4949,2.91170066108031
