"Distance [mm]","Mag_B [mTesla]"
"0.000000","25.3544828998"
"0.303030","23.5967675907"
"0.606061","21.9752552526"
"0.909091","20.4800012595"
"1.212121","19.1014223757"
"1.515152","17.8303980707"
"1.818182","16.6583317791"
"2.121212","15.5771820727"
"2.424242","14.5794717619"
"2.727273","13.6582812403"
"3.030303","12.8072309538"
"3.333333","12.0204567105"
"3.636364","11.2925806095"
"3.939394","10.6186796356"
"4.242424","9.9942534006"
"4.545455","9.4151920732"
"4.848485","8.8777452159"
"5.151515","8.3784919978"
"5.454545","7.9143130731"
"5.757576","7.4823642833"
"6.060606","7.0800522445"
"6.363636","6.7050118151"
"6.666667","6.3550853964"
"6.969697","6.0283039846"
"7.272727","5.7228698768"
"7.575758","5.4371409237"
"7.878788","5.1696162165"
"8.181818","4.9189230956"
"8.484848","4.6838053724"
"8.787879","4.4631126591"
"9.090909","4.2557907089"
"9.393939","4.0608726729"
"9.696970","3.8774711900"
"10.000000","3.7047712297"
"10.303030","3.5420236164"
"10.606061","3.3885391701"
"10.909091","3.2436834024"
"11.212121","3.1068717143"
"11.515152","2.9775650467"
"11.818182","2.8552659397"
"12.121212","2.7395149589"
"12.424242","2.6298874549"
"12.727273","2.5259906223"
"13.030303","2.4274608281"
"13.333333","2.3339611855"
"13.636364","2.2451793466"
"13.939394","2.1608254955"
"14.242424","2.0806305196"
"14.545455","2.0043443453"
"14.848485","1.9317344191"
"15.151515","1.8625843231"
"15.454545","1.7966925099"
"15.757576","1.7338711480"
"16.060606","1.6739450647"
"16.363636","1.6167507807"
"16.666667","1.5621356244"
"16.969697","1.5099569218"
"17.272727","1.4600812529"
"17.575758","1.4123837697"
"17.878788","1.3667475699"
"18.181818","1.3230631217"
"18.484848","1.2812277344"
"18.787879","1.2411450717"
"19.090909","1.2027247035"
"19.393939","1.1658816925"
"19.696970","1.1305362139"
"20.000000","1.0966132035"
"20.303030","1.0640420335"
"20.606061","1.0327562128"
"20.909091","1.0026931098"
"21.212121","0.9737936959"
"21.515152","0.9460023085"
"21.818182","0.9192664310"
"22.121212","0.8935364889"
"22.424242","0.8687656612"
"22.727273","0.8449097046"
"23.030303","0.8219267913"
"23.333333","0.7997773569"
"23.636364","0.7784239602"
"23.939394","0.7578311526"
"24.242424","0.7379653555"
"24.545455","0.7187947477"
"24.848485","0.7002891593"
"25.151515","0.6824199730"
"25.454545","0.6651600326"
"25.757576","0.6484835569"
"26.060606","0.6323660594"
"26.363636","0.6167842739"
"26.666667","0.6017160840"
"26.969697","0.5871404581"
"27.272727","0.5730373875"
"27.575758","0.5593878296"
"27.878788","0.5461736539"
"28.181818","0.5333775916"
"28.484848","0.5209831885"
"28.787879","0.5089747604"
"29.090909","0.4973373518"
"29.393939","0.4860566967"
"29.696970","0.4751191820"
"30.000000","0.4645118128"
