"Distance [mm]","Mag_B [mTesla]"
0,195.837081907195
0.3,174.969076419467
0.6,153.637856481747
0.9,141.044058924736
1.2,129.86011416049
1.5,117.79751366939
1.8,106.061467071638
2.1,94.652129078643
2.4,83.5703097201193
2.7,73.0131072344062
3,68.1700169174944
3.3,63.6276770990955
3.6,59.3882002065618
3.9,55.4544128656708
4.2,51.2930876757403
4.5,46.1064580218093
4.8,41.0320103318987
5.1,37.3569122169503
5.4,35.3139533364302
5.7,33.3445028191819
6,31.4479612492895
6.3,29.6238638885315
6.6,27.8718806763802
6.9,26.1918162300026
7.2,24.5836098442598
7.5,23.047335491707
7.8,21.5832018225937
8.1,20.1915521648636
8.4,18.8728645241548
8.7,17.6277515837994
9,16.4550536492426
9.3,15.2712044948274
9.6,14.1516830469305
9.9,13.0957396929528
10.2,12.1026098946058
10.5,11.6160999028082
10.8,11.1799944538225
11.1,10.753173263792
11.4,10.3356213575918
11.7,9.92732566604723
12,9.52827502593404
12.3,9.13846017997803
12.6,8.75787377685535
12.9,8.38651037119235
13.2,8.02436642356565
13.5,7.6714403005021
13.8,7.32773227447881
14.1,6.99324452392311
14.4,6.66798113321259
14.7,6.3519480926751
15,6.0451532985887
15.3,5.74760655318174
15.6,5.45931956463277
15.9,5.18030594707063
16.2,4.91058122057437
16.5,4.65016281117329
16.8,4.39907005084694
17.1,4.19546880110793
17.4,4.07256626814607
17.7,3.95159771757986
18,3.83256246157092
18.3,3.71545979863493
18.6,3.60028901364162
18.9,3.48704937781481
19.2,3.3757401487323
19.5,3.26636057032604
19.8,3.15890987288197
20.1,3.05338727304012
20.4,2.94979197379454
20.7,2.84812316449339
21,2.74838002083883
21.3,2.65056170488712
21.6,2.55466736504855
21.9,2.46069613608748
22.2,2.36864713912231
22.5,2.27851948162552
22.8,2.19031225742361
23.1,2.10402454669718
23.4,2.01965541598086
23.7,1.93720391816334
24,1.85666909248737
24.3,1.77804996454974
24.6,1.70134554630132
24.9,1.62655483604703
25.2,1.55367681844583
25.5,1.48271046451076
25.8,1.41365473160889
26.1,1.34650856346137
26.4,1.2812708901434
26.7,1.21794062808421
27,1.15651668006714
27.3,1.12736171714951
27.6,1.10172688936657
27.9,1.07661346026055
28.2,1.0520197311319
28.5,1.02794419586899
28.8,1.00438554094811
29.1,0.981342645433468
29.4,0.958814580977213
29.7,0.936800611819409
30,0.91530019478805
