"Distance [mm]","Mag_B [mTesla]"
"0.000000","152.0129389675"
"0.303030","136.6221901838"
"0.606061","122.9666419271"
"0.909091","110.8615515197"
"1.212121","100.1328010587"
"1.515152","90.6201541572"
"1.818182","82.1786424435"
"2.121212","74.6787157996"
"2.424242","68.0056270237"
"2.727273","62.0583837710"
"3.030303","56.7484931135"
"3.333333","51.9986446549"
"3.636364","47.7414218764"
"3.939394","43.9180929278"
"4.242424","40.4775066417"
"4.545455","37.3751033204"
"4.848485","34.5720399383"
"5.151515","32.0344237144"
"5.454545","29.7326450749"
"5.757576","27.6407998211"
"6.060606","25.7361901745"
"6.363636","23.9988948309"
"6.666667","22.4113989336"
"6.969697","20.9582757967"
"7.272727","19.6259131530"
"7.575758","18.4022776136"
"7.878788","17.2767118653"
"8.181818","16.2397598952"
"8.484848","15.2830161950"
"8.787879","14.3989954902"
"9.090909","13.5810200402"
"9.393939","12.8231219931"
"9.696970","12.1199586528"
"10.000000","11.4667388295"
"10.303030","10.8591587199"
"10.606061","10.2933459891"
"10.909091","9.7658109228"
"11.212121","9.2734036834"
"11.515152","8.8132768450"
"11.818182","8.3828524979"
"12.121212","7.9797933185"
"12.424242","7.6019770841"
"12.727273","7.2474741856"
"13.030303","6.9145277523"
"13.333333","6.6015360590"
"13.636364","6.3070369280"
"13.939394","6.0296938782"
"14.242424","5.7682838071"
"14.545455","5.5216860200"
"14.848485","5.2888724447"
"15.151515","5.0688988902"
"15.454545","4.8608972281"
"15.757576","4.6640683893"
"16.060606","4.4776760818"
"16.363636","4.3010411485"
"16.666667","4.1335364934"
"16.969697","3.9745825123"
"17.272727","3.8236429734"
"17.575758","3.6802212985"
"17.878788","3.5438572019"
"18.181818","3.4141236498"
"18.484848","3.2906241043"
"18.787879","3.1729900255"
"19.090909","3.0608786026"
"19.393939","2.9539706918"
"19.696970","2.8519689403"
"20.000000","2.7545960772"
"20.303030","2.6615933554"
"20.606061","2.5727191294"
"20.909091","2.4877475563"
"21.212121","2.4064674073"
"21.515152","2.3286809805"
"21.818182","2.2542031044"
"22.121212","2.1828602243"
"22.424242","2.1144895635"
"22.727273","2.0489383532"
"23.030303","1.9860631241"
"23.333333","1.9257290545"
"23.636364","1.8678093703"
"23.939394","1.8121847914"
"24.242424","1.7587430217"
"24.545455","1.7073782777"
"24.848485","1.6579908535"
"25.151515","1.6104867183"
"25.454545","1.5647771436"
"25.757576","1.5207783594"
"26.060606","1.4784112338"
"26.363636","1.4376009774"
"26.666667","1.3982768682"
"26.969697","1.3603719966"
"27.272727","1.3238230280"
"27.575758","1.2885699828"
"27.878788","1.2545560311"
"28.181818","1.2217273017"
"28.484848","1.1900327045"
"28.787879","1.1594237648"
"29.090909","1.1298544684"
"29.393939","1.1012811177"
"29.696970","1.0736621969"
"30.000000","1.0469582463"
