"Distance [mm]","Mag_B [mTesla]"
"0.000000","84.5471647407"
"0.303030","78.3311246992"
"0.606061","72.5599974855"
"0.909091","67.2188029094"
"1.212121","62.2875029109"
"1.515152","57.7429469736"
"1.818182","53.5603455257"
"2.121212","49.7143561232"
"2.424242","46.1798607181"
"2.727273","42.9325021181"
"3.030303","39.9490365230"
"3.333333","37.2075482747"
"3.636364","34.6875633921"
"3.939394","32.3700903466"
"4.242424","30.2376098651"
"4.545455","28.2740301985"
"4.848485","26.4646200844"
"5.151515","24.7959283640"
"5.454545","23.2556967155"
"5.757576","21.8327700728"
"6.060606","20.5170078814"
"6.363636","19.2991982946"
"6.666667","18.1709766440"
"6.969697","17.1247489627"
"7.272727","16.1536209446"
"7.575758","15.2513324461"
"7.878788","14.4121974490"
"8.181818","13.6310492790"
"8.484848","12.9031907983"
"8.787879","12.2243492453"
"9.090909","11.5906353779"
"9.393939","10.9985065699"
"9.696970","10.4447335210"
"10.000000","9.9263702518"
"10.303030","9.4407270779"
"10.606061","8.9853462766"
"10.909091","8.5579801810"
"11.212121","8.1565714609"
"11.515152","7.7792353697"
"11.818182","7.4242437580"
"12.121212","7.0900106722"
"12.424242","6.7750793768"
"12.727273","6.4781106536"
"13.030303","6.1978722458"
"13.333333","5.9332293299"
"13.636364","5.6831359099"
"13.939394","5.4466270383"
"14.242424","5.2228117810"
"14.545455","5.0108668490"
"14.848485","4.8100308303"
"15.151515","4.6195989604"
"15.454545","4.4389183789"
"15.757576","4.2673838219"
"16.060606","4.1044337089"
"16.363636","3.9495465835"
"16.666667","3.8022378742"
"16.969697","3.6620569443"
"17.272727","3.5285844027"
"17.575758","3.4014296503"
"17.878788","3.2802286395"
"18.181818","3.1646418281"
"18.484848","3.0543523065"
"18.787879","2.9490640855"
"19.090909","2.8485005267"
"19.393939","2.7524029041"
"19.696970","2.6605290857"
"20.000000","2.5726523215"
"20.303030","2.4885601310"
"20.606061","2.4080532807"
"20.909091","2.3309448425"
"21.212121","2.2570593269"
"21.515152","2.1862318851"
"21.818182","2.1183075725"
"22.121212","2.0531406691"
"22.424242","1.9905940528"
"22.727273","1.9305386195"
"23.030303","1.8728527472"
"23.333333","1.8174218005"
"23.636364","1.7641376714"
"23.939394","1.7128983541"
"24.242424","1.6636075510"
"24.545455","1.6161743066"
"24.848485","1.5705126686"
"25.151515","1.5265413726"
"25.454545","1.4841835486"
"25.757576","1.4433664495"
"26.060606","1.4040211970"
"26.363636","1.3660825457"
"26.666667","1.3294886638"
"26.969697","1.2941809275"
"27.272727","1.2601037307"
"27.575758","1.2272043062"
"27.878788","1.1954325595"
"28.181818","1.1647409135"
"28.484848","1.1350841628"
"28.787879","1.1064193383"
"29.090909","1.0787055799"
"29.393939","1.0519040174"
"29.696970","1.0259776595"
"30.000000","1.0008912889"
