"Distance [mm]","Mag_B [mTesla]"
0,40.1396650798851
0.3,36.2791158954366
0.6,32.5161494545099
0.9,28.9098800193273
1.2,25.9503494228712
1.5,24.1166300632557
1.8,22.392229897451
2.1,20.7756190288786
2.4,19.2652768932478
2.7,17.9105266524594
3,16.6334072859722
3.3,15.4180185721525
3.6,14.2636705853553
3.9,13.1696187715111
4.2,12.1350639481252
4.5,11.170274210248
4.8,10.3832970314984
5.1,9.61276350875314
5.4,9.09487730828598
5.7,8.61736892554933
6,8.15621235352126
6.3,7.71136955782887
6.6,7.28280401950332
6.9,6.87048073497995
7.2,6.47436621609818
7.5,6.09442849010164
7.8,5.75259152797031
8.1,5.44950590700596
8.4,5.19862300808842
8.7,4.95655257007602
9,4.72370033117455
9.3,4.50050604230088
9.6,4.28058677077496
9.9,4.09760160737309
10.2,3.92293242893853
10.5,3.76146886296478
10.8,3.64215091710828
11.1,3.52493435736294
11.4,3.4098159300127
11.7,3.29679295074704
12,3.18586330466096
12.3,3.07702544625497
12.6,2.97027839943514
12.9,2.86562175751303
13.2,2.76305568320575
13.5,2.66258090863593
13.8,2.56419873533172
14.1,2.46791103422678
14.4,2.37121063294678
14.7,2.27642887799018
15,2.18408131690328
15.3,2.09417261969965
15.6,2.00670841776473
15.9,1.92169530385585
16.2,1.84595969242375
16.5,1.77847758962538
16.8,1.71593853811847
17.1,1.65415719361859
17.4,1.59301814289364
17.7,1.53514807537886
18,1.48759712407704
18.3,1.45713131669263
18.6,1.42699065440629
18.9,1.39717509814252
19.2,1.36943323927715
19.5,1.34361181179019
19.8,1.31811112128702
20.1,1.29293118188241
20.4,1.26807200070558
20.7,1.24353357790017
21,1.21931590662429
21.3,1.19541897305045
21.6,1.17184275636562
21.9,1.14858722877121
22.2,1.12565235548304
22.5,1.10303809473141
22.8,1.08074439776102
23.1,1.05877120883102
23.4,1.03711846521501
23.7,1.01578609720102
24,0.99477402809149
24.3,0.974082174203344
24.6,0.953710444867914
24.9,0.933658742430975
25.2,0.913926962252745
25.5,0.894514992707873
25.8,0.875422715185447
26.1,0.856650004088997
26.4,0.838196726836484
26.7,0.820062743860311
27,0.802247908607315
27.3,0.784752067538773
27.6,0.767575060130401
27.9,0.750716718872348
28.2,0.734176869269202
28.5,0.717955329839989
28.8,0.702051912118176
29.1,0.686466420651661
29.4,0.671198653002783
29.7,0.655841520400409
30,0.640713706379515
