row_index,pos_x,pos_y,pos_z,dir_x,dir_y,dir_z,scale,rmse,status,pos_error,dir_error,time_ms
1123,0.032748125965,0.048021413967,0.184835777148,0.012463170782,-0.809626094942,0.586813646538,0.999436728884,0.000047355957,6,0.009234222024,0.039672012858,77.506500000000
1124,0.064843588851,0.047292203996,0.184902740721,0.008381537394,-0.805908212511,0.591981167638,0.999445156294,0.000047392100,6,0.009260675965,0.039291338078,78.595100000000
1125,0.096934362289,0.046969982109,0.183816699271,0.009154948099,-0.802988382938,0.595924360798,0.999475759768,0.000047354197,6,0.009170780149,0.040748647508,168.426100000000
1126,0.129264387338,0.046667237649,0.181943617240,0.007554782591,-0.794915146021,0.606673582651,0.999528899781,0.000047330446,6,0.008984058202,0.043684306771,102.184500000000
1127,0.159293976700,0.045434594699,0.179217834928,0.005313983770,-0.798565611239,0.601884312906,0.999654671608,0.000047334451,6,0.007727313108,0.043154375116,97.540300000000
1128,0.001631127333,0.081529034874,0.182636556962,0.009095516890,-0.805857946002,0.592039054825,0.999556096773,0.000047444141,6,0.008953972614,0.051942793766,126.683000000000
1129,0.033439327914,0.080426769587,0.183052871592,0.009830069910,-0.811020527335,0.584935102355,0.999551257337,0.000047415486,6,0.009068684248,0.050657287275,150.008800000000
1130,0.065204247883,0.079772564797,0.183055796029,0.008818377587,-0.804291250527,0.594169858325,0.999555529779,0.000047390495,6,0.009097478696,0.049815780738,104.742200000000
1131,0.097178527464,0.079217793761,0.182143637348,0.010987650891,-0.801655139011,0.597685795067,0.999586344955,0.000047357649,6,0.009015355267,0.050791071038,115.622000000000
1132,0.128771866946,0.078549863449,0.180500575544,0.009091880120,-0.797490492804,0.603263003675,0.999644770736,0.000047359768,6,0.008816456793,0.052982502869,80.301800000000
1133,0.164046878205,0.082401923779,0.178168298591,0.004548841394,-0.799277912058,0.600944362931,0.999594319607,0.000047133772,6,0.014780804928,0.101486219468,186.832600000000
1134,0.003140456926,0.112215605500,0.179705413403,0.007289233398,-0.809270325125,0.587391188177,0.999743121729,0.000047409869,6,0.008184746697,0.057637832756,145.875400000000
1135,0.034186439956,0.111873189123,0.180203138035,0.009773303163,-0.808168930092,0.588869648547,0.999714847525,0.000047355724,6,0.008859609961,0.060091104989,78.369500000000
1136,0.065747426408,0.111487317273,0.180140829308,0.010193736175,-0.802530711545,0.596523716854,0.999720558805,0.000047343083,6,0.008879131492,0.059337019896,119.588800000000
1137,0.096983118939,0.110486336235,0.179241831999,0.010339822969,-0.801390820294,0.598051704462,0.999760046070,0.000047325579,6,0.008579017267,0.058433796365,93.409600000000
1138,0.127729781520,0.108822143776,0.177460772197,0.005063563198,-0.797953504865,0.602697738839,0.999844369601,0.000047351200,6,0.007359782774,0.052309381995,177.879100000000
1139,0.161328787295,0.113106345288,0.173988210878,0.008153800631,-0.800163255697,0.599726837625,0.999901544285,0.000047191691,6,0.013737307886,0.105654086174,94.799900000000
1140,0.004373798001,0.148659680759,0.173926276961,0.012774188877,-0.805688733064,0.592201389320,0.999961285190,0.000047165085,6,0.014553454328,0.115483371653,113.895700000000
1141,0.035202037876,0.140645918873,0.176562313274,0.009978603373,-0.804059991984,0.594464428511,0.999941665791,0.000047353699,6,0.007326038510,0.055680382020,77.573800000000
1142,0.065782125634,0.140183306248,0.176475237013,0.010830032326,-0.801169606714,0.598339344919,0.999947539859,0.000047362319,6,0.007427084282,0.055810235671,77.574100000000
1143,0.097964474667,0.146240136435,0.173113044542,0.011559751930,-0.800032160764,0.599845741736,1.000011321652,0.000047097338,6,0.014835398784,0.114033447552,105.555700000000
1144,0.128587076028,0.143947351558,0.171848224971,0.014814359873,-0.799763122275,0.600132887776,1.000096269667,0.000047178215,6,0.013915123762,0.108987396096,94.766400000000
1145,0.158151790513,0.141392671359,0.169884379966,0.002770104131,-0.799500997301,0.600658373652,1.000225538217,0.000047194994,6,0.012820500663,0.101894567224,94.774200000000
1146,0.006453790994,0.174555547118,0.169290221756,0.008318031020,-0.804917296560,0.593328708271,1.000320201475,0.000047161495,6,0.013361918720,0.104489673209,148.475300000000
1147,0.036516503048,0.173706980558,0.169000497727,0.013073736066,-0.805400257823,0.592587126189,1.000322702080,0.000047120233,6,0.013850746931,0.105760350349,94.966400000000
