x0,y0,z0,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,x10,y10,z10,x11,y11,z11,x12,y12,z12,x13,y13,z13,x14,y14,z14,x15,y15,z15,x16,y16,z16,x17,y17,z17,x18,y18,z18,x19,y19,z19,x20,y20,z20,x21,y21,z21,x22,y22,z22,x23,y23,z23,x24,y24,z24,x25,y25,z25,x26,y26,z26,x27,y27,z27,x28,y28,z28,x29,y29,z29,x30,y30,z30,x31,y31,z31,x32,y32,z32,x33,y33,z33,x34,y34,z34,x35,y35,z35,x36,y36,z36,x37,y37,z37,x38,y38,z38,x39,y39,z39,x40,y40,z40,mag_x0,mag_y0,mag_z0,mag_mx0,mag_my0,mag_mz0
2.6284355999999995e-05,1.07037293e-06,-2.0510074000000008e-05,1.6357041e-05,-3.9031984e-07,-4.212664800000001e-05,1.8877086e-05,-4.686217999999999e-06,-3.4091986e-05,2.4478211e-05,2.509338e-06,-3.8410773e-05,1.9491566e-05,-1.7530457e-05,-3.3414131e-05,2.2837106e-05,1.2363024999999997e-05,-4.631163799999999e-05,1.1326768999999997e-05,1.218334e-05,-2.4238348e-05,1.5463555000000002e-05,2.4964595000000006e-06,-3.2759396e-05,1.0939024999999998e-05,-2.2427372e-06,-2.6060978e-05,1.8043891000000004e-05,-1.6224304e-05,-3.084003e-05,1.9873294000000005e-05,6.6065671e-06,-3.8839412e-05,2.7382898e-05,1.2004393e-06,-3.3152642e-05,7.7576909e-06,1.0961308e-06,-3.9347416e-05,1.9617492e-05,1.3285705e-05,-2.9584785e-05,1.4506833e-05,5.0123903e-06,-2.549279e-05,2.0950032e-05,5.901245199999999e-06,-3.0743038e-05,1.8769886e-05,-1.3448056e-05,-4.257550399999999e-05,1.5653249e-05,-8.654297100000001e-06,-2.9859612000000007e-05,2.1232163999999995e-05,9.3644408e-06,-4.0926874e-05,2.2909489000000005e-05,6.81762558e-08,-4.4169013e-05,2.5505437e-05,8.399841e-06,-2.2507205e-05,2.5909834e-05,-5.3788451000000015e-06,-3.2036079e-05,2.3786326e-05,5.2612306e-06,-3.7499927e-05,2.7454704000000004e-05,-5.4674682e-06,-4.675672699999999e-05,1.3833389e-05,-3.983642399999998e-06,-3.4317015e-05,6.0651854e-06,1.2190733e-05,-4.889681900000001e-05,-5.570301300000001e-06,-2.0200234e-06,-5.0855748e-05,2.7141623e-05,4.0422101e-05,-5.372931500000001e-05,2.0405877e-05,1.6504675e-05,-4.366471500000002e-05,1.5877666e-05,1.5438176e-05,-4.4002048e-05,4.709412200000001e-05,4.912964099999999e-05,-4.9335138e-05,2.4077752e-05,2.5603631e-05,-6.063315e-05,5.628471100000001e-06,1.9318914e-05,-4.416383699999999e-05,3.3460829e-05,1.2066935e-05,-4.2606836000000005e-05,1.2123068e-05,2.4245832e-05,-4.1163109e-05,-1.8126137e-05,-6.5496936e-06,-4.4526306e-05,1.9044288e-05,2.7488891e-05,-4.1897538e-05,1.3530978e-05,1.3554223e-05,-2.7378544e-05,2.2946071e-05,2.8434964000000003e-05,-4.8732246e-05,1.5012425e-05,2.7744813e-05,-5.373531400000001e-05,2.1678169000000004e-05,2.7297432e-05,-4.8260594e-05,0.0030869304128246,0.0130049169965538,0.2133000521078659,0.0169130297959177,-0.4023526291993973,0.9153280285056882
2.742078199999999e-05,1.1054686000000005e-06,-2.0681945e-05,1.7437068999999998e-05,-2.1539310700000002e-07,-4.1595462e-05,1.9557383e-05,-4.379455800000001e-06,-3.3134268000000005e-05,2.4719955e-05,2.8554073999999995e-06,-3.7370914e-05,1.9415173e-05,-1.720672e-05,-3.2529421e-05,2.402874e-05,1.2482850999999998e-05,-4.6564392e-05,1.2468209000000002e-05,1.2265687999999996e-05,-2.3751646e-05,1.6189567e-05,2.5644529999999995e-06,-3.1778499e-05,1.1183713e-05,-2.1516727e-06,-2.498565e-05,1.797369e-05,-1.6105404e-05,-2.9932933e-05,2.0975657e-05,6.7665402e-06,-3.9063284e-05,2.841121e-05,1.2179563e-06,-3.2757263e-05,8.454040700000001e-06,1.01751725e-06,-3.8507381e-05,1.9877021e-05,1.3189389000000004e-05,-2.8642637e-05,1.4473872e-05,4.958069200000001e-06,-2.4669733e-05,2.1867497e-05,6.1101076e-06,-3.0911624e-05,1.9646347000000004e-05,-1.3447877e-05,-4.2284427e-05,1.6270763999999998e-05,-8.814270000000001e-06,-2.9232668999999997e-05,2.1518681e-05,9.1615602e-06,-4.0208561e-05,2.2949513e-05,-8.630370419999998e-08,-4.3495853000000016e-05,2.6199530000000004e-05,8.626160300000001e-06,-2.2627083e-05,2.6616628e-05,-5.3634641e-06,-3.1849311e-05,2.4262939e-05,5.110351099999998e-06,-3.7104609e-05,2.7725598999999995e-05,-5.6638182e-06,-4.6245249e-05,1.3912403999999998e-05,-4.1694342e-06,-3.3861260999999994e-05,7.1397250000000005e-06,1.2000443999999996e-05,-4.888000500000001e-05,-4.7395501e-06,-1.8095585e-06,-4.9789091e-05,2.7743937e-05,4.0516952e-05,-5.293160399999999e-05,2.0237214e-05,1.6510226e-05,-4.2283249e-05,1.6927065e-05,1.5285004e-05,-4.391640299999999e-05,4.7911866000000005e-05,4.907877799999999e-05,-4.8731079e-05,2.4646443999999995e-05,2.5137239000000007e-05,-6.0338643e-05,5.513008e-06,1.8903103e-05,-4.3148643000000007e-05,3.4514913e-05,1.2149368000000003e-05,-4.249415300000001e-05,1.2741306e-05,2.401008e-05,-4.0586816e-05,-1.7859249000000004e-05,-6.6601870000000005e-06,-4.3682696e-05,1.9010379e-05,2.7038586e-05,-4.0888487e-05,1.4281933e-05,1.3596314e-05,-2.7787343e-05,2.3548670000000005e-05,2.8099681e-05,-4.8448549e-05,1.5221134e-05,2.7412739e-05,-5.3149081e-05,2.1707248e-05,2.6779742999999995e-05,-4.7523823e-05,0.0331327082882296,0.0118233550123012,0.2135684833985713,0.0162084650444487,-0.4036594365057183,0.9147647867350792
2.8229987e-05,1.00659178e-06,-2.1456838e-05,1.8511484e-05,-2.09411636e-07,-4.1775326e-05,2.0551687000000003e-05,-4.2783816e-06,-3.2605346e-05,2.529842e-05,3.0247803000000004e-06,-3.643719599999999e-05,1.9545971e-05,-1.6994870999999996e-05,-3.1576904e-05,2.4876026e-05,1.2516607999999998e-05,-4.737145599999999e-05,1.3609979e-05,1.2290404999999995e-05,-2.3938538999999995e-05,1.7236556999999996e-05,2.5420527e-06,-3.1220218e-05,1.1784252000000002e-05,-2.1781004e-06,-2.3998782e-05,1.8114062e-05,-1.6114068999999997e-05,-2.8916439e-05,2.176892e-05,6.9432982e-06,-3.9767641e-05,2.9482255e-05,1.2774658000000005e-06,-3.2918512e-05,9.4118647e-06,9.017944399999998e-07,-3.8061774e-05,2.0460759000000004e-05,1.2977783e-05,-2.7775026e-05,1.4662773e-05,4.7523804e-06,-2.3757142e-05,2.2540053e-05,6.3666386e-06,-3.1457647e-05,2.0517321000000005e-05,-1.3390007999999996e-05,-4.2428955e-05,1.7067071e-05,-8.9373784e-06,-2.8950985000000003e-05,2.2035102e-05,8.905944699999999e-06,-3.960639e-05,2.3157090000000005e-05,-4.2761232e-07,-4.2804073000000005e-05,2.6725957e-05,8.8492427e-06,-2.2989072000000003e-05,2.7284534e-05,-5.3078007e-06,-3.1932376e-05,2.4884513e-05,4.979187100000001e-06,-3.6908683e-05,2.8174850000000004e-05,-5.943603200000001e-06,-4.5834051e-05,1.4118574000000005e-05,-4.495788799999999e-06,-3.3391971e-05,8.4185908e-06,1.2188109e-05,-4.9194975e-05,-3.5654779000000007e-06,-1.9394913e-06,-4.9194243e-05,2.8510671e-05,4.0834263e-05,-5.201096e-05,2.0705495e-05,1.6843468e-05,-4.075343399999999e-05,1.8207981e-05,1.5418298e-05,-4.418897799999999e-05,4.910508800000001e-05,4.9209002e-05,-4.8603331e-05,2.5788071999999995e-05,2.5319792e-05,-5.9792745e-05,5.9402225e-06,1.8770392e-05,-4.2616779e-05,3.5449718e-05,1.2359397e-05,-4.3109912000000005e-05,1.3673051000000004e-05,2.4002779e-05,-4.038088700000001e-05,-1.7225816e-05,-6.7629348e-06,-4.3230924000000005e-05,1.9498684e-05,2.6677287e-05,-4.011180600000001e-05,1.5113852e-05,1.3834846e-05,-2.8060947e-05,2.4364663999999992e-05,2.8114442e-05,-4.8588715e-05,1.5657113999999998e-05,2.7141038000000004e-05,-5.305071600000001e-05,2.2314092e-05,2.6813652e-05,-4.686992199999998e-05,0.0630487462212856,0.0113203890793016,0.2137193605727379,0.017654332595738,-0.401280438736307,0.9157845112595012
2.8577884e-05,6.820068300000001e-07,-2.2391422e-05,1.9306507e-05,-4.667358200000001e-07,-4.2441767e-05,2.1575428000000003e-05,-4.460082700000001e-06,-3.2641483e-05,2.6133488e-05,2.9747921e-06,-3.5787721e-05,1.9943735999999995e-05,-1.6959465e-05,-3.0552127e-05,2.5263735e-05,1.2400517999999998e-05,-4.8407537e-05,1.4460625e-05,1.2175846e-05,-2.4629704e-05,1.8325202e-05,2.3678587e-06,-3.126806599999999e-05,1.2667910999999998e-05,-2.3967896e-06,-2.3345029e-05,1.8556465e-05,-1.6299738e-05,-2.7870055e-05,2.2102957000000004e-05,7.030822899999999e-06,-4.0655756e-05,3.0247365e-05,1.2889407999999998e-06,-3.3548088e-05,1.0394725e-05,7.723999700000001e-07,-3.8109121e-05,2.1307685e-05,1.2690185e-05,-2.7214726e-05,1.5085089e-05,4.3548585e-06,-2.2852600999999995e-05,2.2856518e-05,6.532287600000001e-06,-3.2125737000000004e-05,2.1161448000000005e-05,-1.3334710000000002e-05,-4.288800000000001e-05,1.7863167000000002e-05,-9.0794676e-06,-2.8980594e-05,2.2716619999999997e-05,8.5901492e-06,-3.921442200000001e-05,2.3538152e-05,-8.850708600000002e-07,-4.212084799999999e-05,2.6976066e-05,9.0207523e-06,-2.3470336000000006e-05,2.7775697000000004e-05,-5.243529999999999e-06,-3.224566999999999e-05,2.5457581e-05,4.8502197e-06,-3.693689e-05,2.8687063e-05,-6.2573242e-06,-4.5576413e-05,1.4447007999999998e-05,-4.942627e-06,-3.2954230000000006e-05,8.8108736e-06,1.1876641e-05,-5.0491088e-05,-2.3596905e-06,-1.9348141e-06,-4.9888045e-05,2.9401929000000007e-05,4.097266600000001e-05,-5.2004235e-05,2.1609034e-05,1.6652296000000002e-05,-4.0484949e-05,1.890763e-05,1.5590473999999998e-05,-4.524744e-05,5.0195410000000005e-05,4.9292314e-05,-4.8791287000000006e-05,2.660655e-05,2.5301079e-05,-5.9513886e-05,6.639579300000001e-06,1.8865973e-05,-4.1615901000000005e-05,3.5548083e-05,1.2863782e-05,-4.3506286e-05,1.4527332999999998e-05,2.3983772e-05,-4.0141627e-05,-1.6091057e-05,-7.0106692e-06,-4.3113712000000007e-05,2.0180646e-05,2.6788217e-05,-4.0032889e-05,1.5360418e-05,1.3957025e-05,-2.8676409e-05,2.4963753e-05,2.7949136e-05,-4.852309599999999e-05,1.64544e-05,2.7347997e-05,-5.264644699999999e-05,2.2704475000000004e-05,2.6678747e-05,-4.6179627e-05,0.0930912730255974,0.0106342473293666,0.2136920881135519,0.0137829687134755,-0.4010943369834494,0.915932470321267
2.8627266e-05,4.2260738e-07,-2.3324283000000007e-05,1.9758555e-05,-6.824950900000001e-07,-4.3403132000000006e-05,2.2478146e-05,-4.636108000000001e-06,-3.3229802e-05,2.7219741e-05,2.9081418e-06,-3.5724975e-05,2.0803409999999995e-05,-1.6923165e-05,-2.9848138e-05,2.5289138e-05,1.2372012e-05,-4.942986699999999e-05,1.4940001000000004e-05,1.2149914000000002e-05,-2.5672784e-05,1.9264286e-05,2.3205564e-06,-3.1882567e-05,1.3790944e-05,-2.4848634000000003e-06,-2.3255608e-05,1.9433964e-05,-1.6380385e-05,-2.715985e-05,2.2161263e-05,7.161987499999999e-06,-4.1535226e-05,3.0713876000000005e-05,1.4522708e-06,-3.4398194e-05,1.1250992e-05,8.260497500000001e-07,-3.8631353e-05,2.2340703999999995e-05,1.2570492000000002e-05,-2.7166511000000005e-05,1.5908582000000003e-05,4.128417800000001e-06,-2.2217771e-05,2.293053600000001e-05,6.775085e-06,-3.2812925e-05,2.1553636e-05,-1.3104805e-05,-4.3549063e-05,1.8588194e-05,-8.9520257e-06,-2.9404731000000005e-05,2.3550905999999995e-05,8.5197756e-06,-3.9196834e-05,2.4219727999999994e-05,-1.2020877000000002e-06,-4.168004800000001e-05,2.7078859e-05,9.2878419e-06,-2.395031e-05,2.8090465e-05,-4.9999385e-06,-3.2704232e-05,2.6031863999999995e-05,4.9735719e-06,-3.7219241e-05,2.9312511e-05,-6.334594899999999e-06,-4.555939599999999e-05,1.4978687000000004e-05,-5.211852899999999e-06,-3.2686466e-05,9.168079599999998e-06,1.171558e-05,-5.1081847e-05,-1.862175e-06,-2.0618239e-06,-5.085997700000001e-05,3.067962400000001e-05,4.1109180000000015e-05,-5.174948899999999e-05,2.2910553e-05,1.6929552000000003e-05,-4.0376936e-05,1.9074101000000004e-05,1.5631983999999998e-05,-4.6550127e-05,5.066266999999999e-05,4.9008183e-05,-4.9704178e-05,2.7702132e-05,2.5013592000000005e-05,-5.9688252e-05,7.667494699999999e-06,1.8969306e-05,-4.129128999999999e-05,3.5923561e-05,1.3357205000000002e-05,-4.4331043e-05,1.520082e-05,2.4392283e-05,-4.1163982000000005e-05,-1.5300207e-05,-6.6818179e-06,-4.340236499999999e-05,2.1118678e-05,2.646975e-05,-3.9683279e-05,1.5742031e-05,1.4201696999999998e-05,-2.8619854e-05,2.5655649e-05,2.8218209999999998e-05,-4.855963400000001e-05,1.7571031e-05,2.7126422000000005e-05,-5.30532e-05,2.3377083000000004e-05,2.6294211e-05,-4.6164864e-05,0.1230721175097932,0.0098989266918341,0.213668165808169,0.0188404648670283,-0.4007278620458817,0.9160029835124516
2.8513971e-05,3.9538572000000003e-07,-2.4068668000000005e-05,1.9934093000000004e-05,-7.4316408e-07,-4.430011e-05,2.3107658000000004e-05,-4.648681699999999e-06,-3.4119695000000004e-05,2.8263684e-05,2.9711915e-06,-3.6197274e-05,2.1981938e-05,-1.6754339e-05,-2.9614199e-05,2.5177305000000004e-05,1.2526984e-05,-5.0229617e-05,1.5121758e-05,1.2320621e-05,-2.6656438999999994e-05,1.9931107e-05,2.4833373e-06,-3.2843932e-05,1.4879403000000002e-05,-2.3263552e-06,-2.3777334e-05,2.0617019e-05,-1.627966e-05,-2.6939876000000004e-05,2.20924e-05,7.4731441e-06,-4.2267398e-05,3.092943600000001e-05,1.8009032e-06,-3.529845999999999e-05,1.1873896e-05,1.1868899e-06,-3.9453495e-05,2.3360052e-05,1.2816406000000005e-05,-2.7632444e-05,1.7047169999999996e-05,4.210326999999999e-06,-2.2037164000000008e-05,2.2939386e-05,7.198059400000001e-06,-3.3409980999999995e-05,2.1786621e-05,-1.2656186000000004e-05,-4.425524699999999e-05,1.9147512e-05,-8.5222779e-06,-3.0008113e-05,2.4394474e-05,8.833862200000003e-06,-3.9518191e-05,2.5165286e-05,-1.12805132e-06,-4.1545102e-05,2.7133968e-05,9.7108153e-06,-2.4356386e-05,2.8319876000000004e-05,-4.5508419000000005e-06,-3.3185974e-05,2.6510919e-05,5.3983157e-06,-3.7591191e-05,2.9975168000000003e-05,-6.050720500000001e-06,-4.5778322e-05,1.5707636e-05,-5.1207273e-06,-3.2595461e-05,9.0176847e-06,1.1543557e-05,-5.207030099999999e-05,-1.5109614399999997e-06,-2.190003e-06,-5.213285500000001e-05,3.1403391e-05,4.1058024e-05,-5.250160400000001e-05,2.3699355e-05,1.6735603e-05,-4.078427e-05,1.8798154e-05,1.5796843999999998e-05,-4.7497516e-05,5.1173636e-05,4.9335281e-05,-5.0299036e-05,2.8562553999999997e-05,2.5268633000000004e-05,-6.0211487e-05,8.540338699999999e-06,1.8949865e-05,-4.201827e-05,3.5810583e-05,1.3471785999999995e-05,-4.54297e-05,1.5366408999999997e-05,2.4571028e-05,-4.1724497e-05,-1.4478073000000002e-05,-6.559631899999998e-06,-4.4268197e-05,2.1986557e-05,2.6399739e-05,-3.9747588000000006e-05,1.5823002999999996e-05,1.4233123e-05,-2.9022800000000003e-05,2.5831778e-05,2.8826364e-05,-4.9087405000000014e-05,1.7910551e-05,2.7681965e-05,-5.351198600000001e-05,2.4030987e-05,2.6240718000000004e-05,-4.643408499999999e-05,0.1529726421466424,0.0094019025848568,0.2130533220330124,0.016404172067289,-0.4024341477887634,0.9153013840596468
2.6410274e-05,2.0409548e-06,-2.1386776000000004e-05,1.6650032e-05,5.5426024e-07,-4.2930656e-05,1.9258611e-05,-3.861206199999999e-06,-3.476037600000001e-05,2.4855763e-05,3.1801758e-06,-3.8865484e-05,1.9818476e-05,-1.7018545e-05,-3.370342399999999e-05,2.2946583e-05,1.3721634e-05,-4.660888399999998e-05,1.1488763999999996e-05,1.3431697000000002e-05,-2.4493962999999995e-05,1.5637506000000004e-05,3.5646363000000005e-06,-3.2965456e-05,1.1111085000000003e-05,-1.3920281999999998e-06,-2.6232421e-05,1.8195452e-05,-1.5597709000000003e-05,-3.0977783e-05,1.9970395000000004e-05,7.8583985e-06,-3.8402709e-05,2.7392593e-05,2.3881224e-06,-3.2751881e-05,7.722472899999999e-06,2.0988155e-06,-3.9050175e-05,1.957374e-05,1.4113589000000005e-05,-2.9439268e-05,1.4500119000000002e-05,5.628356999999999e-06,-2.5457212e-05,2.1055226999999995e-05,6.711364699999998e-06,-2.9835025e-05,1.8688737e-05,-1.2645867000000003e-05,-4.176121999999999e-05,1.5484668e-05,-7.928588799999999e-06,-2.9277343e-05,2.1056266e-05,1.00209358e-05,-4.0593939e-05,2.2773124e-05,6.0162342e-07,-4.394384599999999e-05,2.5605645e-05,8.768249499999999e-06,-2.1588680000000004e-05,2.5798407e-05,-5.0244753e-06,-3.1153317e-05,2.3514947e-05,5.6466065000000006e-06,-3.6835143e-05,2.7202892e-05,-5.083861900000001e-06,-4.6283264000000006e-05,1.3641306e-05,-3.6071165e-06,-3.4051573000000004e-05,6.348289999999999e-06,1.2705637999999998e-05,-4.976717299999999e-05,-5.0178311e-06,-9.40660502e-07,-5.0979242e-05,2.7436128e-05,4.174262400000001e-05,-5.403522500000001e-05,2.0710315e-05,1.7023972e-05,-4.4163405e-05,1.6042237999999998e-05,1.6348731e-05,-4.4072350000000005e-05,4.710742600000001e-05,5.0215721000000005e-05,-4.9040343e-05,2.4338791e-05,2.6004826000000007e-05,-6.131744999999999e-05,5.3715292e-06,1.9538875e-05,-4.476863300000001e-05,3.3213531e-05,1.3331775000000002e-05,-4.206825599999999e-05,1.1978807000000002e-05,2.4798160000000007e-05,-4.0625845e-05,-1.8753724e-05,-5.669541500000001e-06,-4.4465359e-05,1.8946793000000004e-05,2.7880591000000004e-05,-4.1604213000000006e-05,1.3466526999999998e-05,1.3465506e-05,-2.6195557000000003e-05,2.2708125000000005e-05,2.8465799e-05,-4.7532006e-05,1.4537414e-05,2.8247446e-05,-5.334112800000001e-05,2.1536094999999995e-05,2.7462581e-05,-4.805276199999999e-05,0.0036555344912241,0.0429017767743976,0.2134078177080215,0.0154589451151743,-0.4029380490403021,0.9150961408367934
2.7242803e-05,1.8020629e-06,-2.161237e-05,1.7419659999999996e-05,4.6209721000000003e-07,-4.254553e-05,1.9717656e-05,-3.778381300000001e-06,-3.3996344e-05,2.4938982e-05,3.3336181e-06,-3.8026855e-05,1.9618776e-05,-1.6886592e-05,-3.2984254e-05,2.3948491e-05,1.3464053e-05,-4.687457400000001e-05,1.2430859e-05,1.3291986e-05,-2.4035643000000005e-05,1.6190845e-05,3.500487799999999e-06,-3.2029293e-05,1.1198611000000002e-05,-1.4260249e-06,-2.518933e-05,1.7980285e-05,-1.5614865e-05,-3.0116997e-05,2.0996161000000004e-05,7.6517339e-06,-3.8693239999999993e-05,2.8358196e-05,2.1428838e-06,-3.2315918e-05,8.300658599999998e-06,1.8500975000000003e-06,-3.8111516000000006e-05,1.9677915e-05,1.3843753e-05,-2.836505e-05,1.4274394e-05,5.425048500000002e-06,-2.4569213e-05,2.1973885e-05,6.5837398000000005e-06,-3.0078243e-05,1.9575827e-05,-1.2937739999999998e-05,-4.1413146e-05,1.6032277e-05,-8.3574216e-06,-2.8449099e-05,2.1182128e-05,9.55249e-06,-3.9670106e-05,2.2612044e-05,2.00134274e-07,-4.312334799999999e-05,2.6332717e-05,8.678161399999999e-06,-2.1771055000000003e-05,2.6520642e-05,-5.3233036e-06,-3.0907170999999995e-05,2.3964056e-05,5.2021483e-06,-3.6242863e-05,2.7353458e-05,-5.5881350000000015e-06,-4.5592893e-05,1.3521615e-05,-4.0708615e-06,-3.3406795e-05,7.193802699999997e-06,1.28917e-05,-4.9328852e-05,-4.085209e-06,-5.42677701e-07,-5.0218063e-05,2.7615023e-05,4.209587199999999e-05,-5.3135336e-05,2.0919174e-05,1.7177876999999997e-05,-4.280093899999999e-05,1.7247155e-05,1.6410551e-05,-4.3843174e-05,4.8285441e-05,5.0123944e-05,-4.8073078e-05,2.4604646000000004e-05,2.6352382000000003e-05,-6.037269700000001e-05,5.552470299999999e-06,1.955671e-05,-4.376834300000001e-05,3.4367434e-05,1.3155224e-05,-4.1958487e-05,1.2552177999999998e-05,2.4757965000000003e-05,-3.98993e-05,-1.7830165999999998e-05,-5.766296299999999e-06,-4.3731652e-05,1.9048965e-05,2.7811602e-05,-4.0855014e-05,1.4679624000000002e-05,1.3868754e-05,-2.635413e-05,2.3579802999999992e-05,2.8230926e-05,-4.7161943e-05,1.4960395e-05,2.7976762e-05,-5.260552100000001e-05,2.1728147e-05,2.7296108000000003e-05,-4.7029815e-05,0.033711147287347,0.0417800077231709,0.2137470184546882,0.0198919708728628,-0.4007478106967067,0.9159715480977452
2.7935983e-05,1.5894162e-06,-2.2160464000000004e-05,1.8346942000000004e-05,4.810180799999999e-07,-4.265570499999999e-05,2.0567083e-05,-3.6070558e-06,-3.354224e-05,2.5446112e-05,3.658203500000001e-06,-3.723980200000001e-05,1.9750932e-05,-1.6512814e-05,-3.2154719999999994e-05,2.4767348000000004e-05,1.3386592e-05,-4.7634089e-05,1.3542723e-05,1.3286069e-05,-2.4194638e-05,1.7181644000000002e-05,3.5837402e-06,-3.1466126999999994e-05,1.1759116000000004e-05,-1.2713623000000005e-06,-2.4219846e-05,1.8099166e-05,-1.5424445e-05,-2.911840799999999e-05,2.1831553e-05,7.7144773e-06,-3.946374599999999e-05,2.9492383000000003e-05,2.1683962e-06,-3.2491637e-05,9.3058464e-06,1.7941286000000003e-06,-3.7554804e-05,2.0273384e-05,1.3787767e-05,-2.73681e-05,1.4419733999999998e-05,5.3612672e-06,-2.3526969e-05,2.2736817e-05,6.795288399999999e-06,-3.0789979e-05,2.0581242e-05,-1.2890370999999998e-05,-4.1555598e-05,1.6943248999999998e-05,-8.478271899999998e-06,-2.8028073000000006e-05,2.1736617e-05,9.307739e-06,-3.8812622e-05,2.2781783000000003e-05,-7.281492500000001e-08,-4.2219786000000014e-05,2.6949634e-05,8.9371942e-06,-2.2269106e-05,2.7337954e-05,-5.262695699999999e-06,-3.1020133e-05,2.4730278e-05,5.0264894000000014e-06,-3.5941773e-05,2.7832871e-05,-5.905455900000001e-06,-4.4998351000000005e-05,1.3683668e-05,-4.452026500000001e-06,-3.274767900000001e-05,7.887897999999999e-06,1.2673630999999998e-05,-5.0150684e-05,-3.1167788e-06,-7.9348166e-07,-5.0393593e-05,2.8621751000000004e-05,4.214601299999999e-05,-5.251242399999999e-05,2.0867869e-05,1.7634176e-05,-4.192473099999999e-05,1.7986404000000002e-05,1.6439933e-05,-4.4150538e-05,4.9322568e-05,4.988862999999999e-05,-4.8215147e-05,2.5372847e-05,2.6366707000000005e-05,-5.9748614e-05,5.986407900000001e-06,1.9652877e-05,-4.262131000000001e-05,3.515697e-05,1.3158436e-05,-4.2366117e-05,1.3541361e-05,2.4670122e-05,-4.0113273e-05,-1.7137680000000002e-05,-5.9057296e-06,-4.2805178e-05,1.9237069e-05,2.7644839000000003e-05,-4.0001167e-05,1.514644e-05,1.3869485999999998e-05,-2.6736773e-05,2.4462438e-05,2.8169684e-05,-4.710114300000001e-05,1.5661649e-05,2.7707541000000004e-05,-5.1883077e-05,2.1766875e-05,2.67432e-05,-4.655188499999999e-05,0.0635554386721901,0.0410762591149367,0.2138891084229181,0.0185731980132956,-0.4011001829082645,0.9158451881221056
2.8369252999999998e-05,1.4349369e-06,-2.2943540999999997e-05,1.9163683e-05,4.449463300000001e-07,-4.3186956000000005e-05,2.1591539000000005e-05,-3.4752187e-06,-3.3556768e-05,2.6327533e-05,4.011779299999999e-06,-3.6687314e-05,2.0270889e-05,-1.6047539000000002e-05,-3.1315366e-05,2.5250854e-05,1.3387201999999998e-05,-4.860553299999999e-05,1.4495179e-05,1.334089e-05,-2.4877504000000005e-05,1.8386178e-05,3.731445000000001e-06,-3.1523252e-05,1.2777784000000005e-05,-1.03277602e-06,-2.3578741e-05,1.8667299e-05,-1.5090155e-05,-2.8104315e-05,2.2342845e-05,7.914123499999999e-06,-4.045239300000001e-05,3.0476994e-05,2.3872680999999995e-06,-3.319775e-05,1.0541584000000002e-05,1.9495245e-06,-3.7618527e-05,2.1344667e-05,1.3873967e-05,-2.6731384e-05,1.5032299e-05,5.453797200000001e-06,-2.2488159000000004e-05,2.3233593e-05,7.1943967e-06,-3.1658137e-05,2.1493731e-05,-1.2565299999999996e-05,-4.217914100000001e-05,1.8082874e-05,-8.2985233e-06,-2.8085082000000004e-05,2.2717788e-05,9.3701178e-06,-3.8325993e-05,2.3373003e-05,-1.52770971e-07,-4.1353146e-05,2.7405102e-05,9.4012448e-06,-2.2892772e-05,2.8126647e-05,-4.8557126e-06,-3.1462341e-05,2.5677134e-05,5.2198493999999975e-06,-3.598016e-05,2.865838e-05,-5.917480999999999e-06,-4.4641478e-05,1.4254444999999998e-05,-4.585998399999999e-06,-3.2101931e-05,8.5169539e-06,1.2570006999999996e-05,-5.0957469e-05,-2.3452208e-06,-9.5103762e-07,-5.092180499999999e-05,2.9384244999999992e-05,4.1951477e-05,-5.173443199999999e-05,2.1805466e-05,1.7919471e-05,-4.0772728e-05,1.8524699e-05,1.6229610999999995e-05,-4.5150541000000006e-05,5.0123206e-05,5.0146155e-05,-4.8826514e-05,2.6695406e-05,2.6470911000000004e-05,-5.9160774e-05,6.788366099999999e-06,1.9762791e-05,-4.139008699999999e-05,3.5528215e-05,1.3593538000000002e-05,-4.3120139e-05,1.4569573999999996e-05,2.4929992e-05,-4.0062266e-05,-1.5889072e-05,-6.2668809e-06,-4.298173299999999e-05,2.0129351e-05,2.7395060000000005e-05,-3.8992403e-05,1.5797429e-05,1.4257821999999998e-05,-2.7538583e-05,2.5405584e-05,2.8637238999999997e-05,-4.7141329e-05,1.6404561e-05,2.7633148e-05,-5.1559195e-05,2.2206663e-05,2.6323589e-05,-4.5990064e-05,0.0935735111353174,0.0406357035500896,0.2139767419406861,0.0190354143968705,-0.4000839960795384,0.9162800879293864
