row,model,px,py,pz,ux,uy,uz,k,cost,nfev,status
633,biot,0.0927489485,0.1123947113,0.0566708889,-0.0002409123,-0.8061902610,0.5916563235,1.0011337305,0.0000496766,15,1
634,biot,0.1250274089,0.1112886942,0.0555054213,-0.0037857258,-0.8017583933,0.5976363000,1.0016380534,0.0000495984,15,1
635,biot,0.1578537235,0.1104435036,0.0534971245,-0.0017630034,-0.8001749106,0.5997641239,1.0043034456,0.0000506974,6,1
636,biot,0.0089067285,0.1467113930,0.0555818972,-0.0419215341,-0.8247351749,0.5639631870,1.0646173079,0.0000495235,15,1
637,biot,0.0360435734,0.1449313614,0.0543698132,-0.0444394249,-0.8133746655,0.5800403357,1.0670781963,0.0000490788,15,1
638,biot,0.0634094052,0.1441946092,0.0543638927,-0.0464144803,-0.7988876990,0.5996867019,1.0705024131,0.0000494667,15,1
639,biot,0.0930958109,0.1428805827,0.0550198950,-0.0432281985,-0.7900938080,0.6114598085,1.0681017653,0.0000501219,15,0
640,biot,0.1227879759,0.1425777923,0.0538364856,-0.0200537567,-0.7857661324,0.6181985377,1.0166781752,0.0000508392,15,0
641,biot,0.1537297705,0.1412587987,0.0540487000,-0.0001403745,-0.7977243622,0.6030222403,1.0044202382,0.0000518531,6,1
642,biot,0.0125148142,0.1710810971,0.0498018048,0.0095942922,-0.8076709461,0.5895554193,1.0009616618,0.0000488568,5,1
643,biot,0.0409277520,0.1707353622,0.0488238265,-0.0067259296,-0.8100804801,0.5862801188,1.0869775887,0.0000481261,15,1
644,biot,0.0641970280,0.1706002031,0.0482058465,0.0002446178,-0.7983554750,0.6021864127,1.0849310517,0.0000485223,15,1
645,biot,0.0906627896,0.1701682227,0.0486652288,0.0018739941,-0.7988754684,0.6014935362,1.0861468058,0.0000489850,15,1
646,biot,0.1147356602,0.1701757596,0.0496345893,0.0032586947,-0.7900181617,0.6130747793,1.0824847952,0.0000493792,15,1
647,biot,0.1456362405,0.1689482895,0.0526091587,0.0028786451,-0.8048735148,0.5934394143,1.0009204471,0.0000507622,5,1
