row_index,pos_x,pos_y,pos_z,dir_x,dir_y,dir_z,scale,rmse,status,pos_error,dir_error,time_ms
37,0.117159055304,0.015068108320,0.116687622686,0.038374548347,-0.374349761392,0.926493200291,1.000000000000,0.000022874144,1,0.007561979668,2.154616532623,15.633000000000
38,0.160202742168,0.006939124986,0.114338832904,0.001600290247,-0.416274946529,0.909237377126,1.000000000000,0.000022518200,1,0.011139039139,1.267607163626,15.664100000000
39,0.162102899648,0.020021385202,0.149808454934,0.018762109320,-0.401272054536,0.915766739679,1.000000000000,0.000022168725,1,0.013622174211,0.026847252824,15.690500000000
40,0.118929206311,0.013832317208,0.152789458649,0.008369901076,-0.361574989054,0.932305460697,1.000000000000,0.000022415722,1,0.004512867176,2.595405480246,13.869900000000
41,0.113091009497,0.038484637694,0.151063691635,0.021374230629,-0.419419802255,0.907540727318,1.000000000000,0.000022410555,1,0.010051204728,1.152670878986,15.707200000000
42,0.125732177639,0.070022253487,0.151648924477,0.023355455492,-0.391129792546,0.920039133995,1.000000000000,0.000022452281,1,0.002793393104,0.611329499473,14.575900000000
43,0.121417866712,0.061873904835,0.176828447195,0.030143104065,-0.402818724500,0.914783290441,1.000000000000,0.000022604246,1,0.010603907134,0.594668899034,15.762400000000
44,0.127781844105,0.068769143561,0.207704619926,0.008713298158,-0.397613936525,0.917511436395,1.000000000000,0.000022423873,1,0.005990034178,0.733883053065,42.515200000000
45,0.146616631149,0.078167196613,0.212724509897,0.006251955657,-0.382761118983,0.923826195150,1.000000000000,0.000022341166,1,0.010589459481,1.405437299059,15.608500000000
46,0.154504150181,0.109845741045,0.213029666005,0.026318177090,-0.407884054588,0.912654343970,1.000000000000,0.000022318894,1,0.009715422689,0.588228291897,19.561900000000
47,0.157632736089,0.097193988641,0.183436999102,-0.013283455619,-0.412197625543,0.910997622008,1.000000000000,0.000022482397,1,0.005077716177,2.048228392714,15.503500000000
